Sequence Number,[3rd Mainline] Name,Date,Time,Ievoli_Cobal CoG Easting,Ievoli_Cobal CoG Northing,Ievoli_Cobal CoG COG,Ievoli_Cobal CoG SOG,SF_Port_MAG_1 Range to Node,SF_Port_MAG_1 Easting,SF_Port_MAG_1 Northing,Magnetic Field 30001_MAG_SFPort_1_883758 [nT] Value,Value Value,Depth Value,Altitude Value,Magnetic Field 30005_MAG_SFPort_5_883768 [nT] Value,Value Value,Value Comment,Value Comment,10002_MRU_SF_Port Pitch,10002_MRU_SF_Port Roll
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:16.95,668075.27,5981984.42,325.36,3.02,197.91,668188.17,5981769.90,50014.01,1372.00,31.32,2.50,50006.49,1284.00,883758,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:16.98,668075.21,5981984.51,325.36,3.02,197.91,668188.11,5981769.98,50013.79,1372.00,31.32,2.50,50006.26,1287.00,883758,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.02,668075.14,5981984.61,325.36,3.02,197.91,668188.04,5981770.08,50013.74,1372.00,31.32,2.51,50006.26,1287.00,883758,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.06,668075.07,5981984.70,325.36,3.02,197.91,668187.98,5981770.18,50013.70,1372.00,31.32,2.51,50006.24,1284.00,883758,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.11,668075.00,5981984.81,325.36,3.02,197.91,668187.91,5981770.28,50013.61,1372.00,31.32,2.50,50006.11,1284.00,883758,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.19,668074.86,5981985.01,325.36,3.02,197.91,668187.77,5981770.48,50013.36,1375.00,31.32,2.50,50005.88,1284.00,883758,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.23,668074.79,5981985.11,325.36,3.02,197.92,668187.70,5981770.58,50013.06,1372.00,31.32,2.51,50005.88,1284.00,883758,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.28,668074.69,5981985.26,325.36,3.02,197.92,668187.60,5981770.73,50013.06,1370.00,31.32,2.51,50005.76,1287.00,883758,883768,-1.07,0.45
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.31,668074.65,5981985.31,325.36,3.02,197.92,668187.56,5981770.78,50012.95,1372.00,31.32,2.51,50005.61,1287.00,883758,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.39,668074.47,5981985.53,325.36,3.02,197.85,668187.49,5981771.13,50012.79,1375.00,31.32,2.51,50005.34,1284.00,883758,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.43,668074.40,5981985.63,325.36,3.02,197.94,668187.53,5981771.19,50012.52,1375.00,31.32,2.50,50005.34,1284.00,883758,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.47,668074.33,5981985.73,325.36,3.02,197.94,668187.46,5981771.29,50012.37,1375.00,31.32,2.50,50005.20,1289.00,883758,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.51,668074.26,5981985.83,325.36,3.02,197.94,668187.39,5981771.39,50012.20,1375.00,31.32,2.49,50005.04,1287.00,883758,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.59,668074.12,5981986.03,325.36,3.02,197.88,668187.23,5981771.65,50012.14,1372.00,31.32,2.49,50004.71,1287.00,883758,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.63,668074.05,5981986.14,325.36,3.02,197.88,668187.16,5981771.76,50011.93,1370.00,31.32,2.51,50004.75,1284.00,883758,883768,4.89,-0.66
0014-,DDB_B10_P15_IC_SFpt_GRAD_1,28/06/2026,02:27:17.67,668073.98,5981986.24,325.36,3.02,197.88,668187.09,5981771.86,50011.78,1375.00,31.32,2.51,50004.75,1284.00,883758,883768,4.89,-0.66
